grosjean,2020,1,1,20,15:37:03,23.280
raikkonen,2020,1,2,51,16:15:48,21.569
giovinazzi,2020,1,2,55,16:22:14,22.800
russell,2020,1,1,25,15:42:53,21.417
bottas,2020,1,2,56,16:23:58,16.407
hamilton,2020,1,2,56,16:24:00,16.365
albon,2020,1,3,56,16:24:03,17.035
norris,2020,1,3,56,16:24:03,18.163
perez,2020,1,2,56,16:24:01,16.546
leclerc,2020,1,2,51,16:15:24,21.972
sainz,2020,1,2,52,16:17:02,21.805
vettel,2020,1,2,51,16:15:55,22.738
gasly,2020,1,1,26,15:44:02,22.466
kvyat,2020,1,2,51,16:15:41,21.622
ocon,2020,1,1,26,15:44:17,21.683
latifi,2020,1,2,51,16:16:23,21.918
leclerc,2020,2,1,1,15:14:20,39.715
max_verstappen,2020,2,2,68,16:32:33,21.091
gasly,2020,2,2,49,16:12:15,22.280
hamilton,2020,2,1,27,15:45:28,21.729
kevin_magnussen,2020,2,1,31,15:51:02,21.977
sainz,2020,2,2,66,16:31:07,21.873
latifi,2020,2,1,32,15:52:24,22.745
stroll,2020,2,1,33,15:53:01,22.118
bottas,2020,2,1,34,15:53:38,21.376
russell,2020,2,1,34,15:54:49,21.697
albon,2020,2,1,35,15:55:11,21.505
kvyat,2020,2,1,36,15:56:45,22.197
ricciardo,2020,2,1,37,15:57:33,21.603
grosjean,2020,2,1,37,15:58:03,22.444
perez,2020,2,1,38,15:58:45,22.761
norris,2020,2,1,39,16:00:02,22.406
giovinazzi,2020,2,1,39,16:00:18,21.667
raikkonen,2020,2,1,44,16:06:06,21.459
kvyat,2020,3,2,18,15:39:53,22.685
leclerc,2020,3,2,20,15:42:29,22.564
bottas,2020,3,2,33,15:59:47,21.644
hamilton,2020,3,1,3,15:17:37,22.320
stroll,2020,3,1,3,15:17:46,23.081
vettel,2020,3,2,29,15:54:50,21.880
perez,2020,3,1,3,15:17:53,23.263
sainz,2020,3,1,3,15:17:55,27.131
albon,2020,3,2,34,16:01:43,22.174
latifi,2020,3,3,31,16:00:38,28.367
gasly,2020,3,1,3,15:18:01,22.740
raikkonen,2020,3,2,33,16:00:45,27.128
max_verstappen,2020,3,1,4,15:19:18,21.529
ricciardo,2020,3,1,4,15:19:30,21.920
ocon,2020,3,2,31,15:57:59,21.860
norris,2020,3,1,4,15:19:40,23.012
russell,2020,3,2,19,15:41:33,21.367
giovinazzi,2020,3,2,20,15:43:04,23.082
grosjean,2020,3,1,34,16:01:59,22.591
albon,2020,4,2,30,15:08:33,33.308
ricciardo,2020,4,1,12,14:35:22,29.559
norris,2020,4,1,12,14:35:24,30.289
ocon,2020,4,1,12,14:35:26,30.768
vettel,2020,4,1,12,14:35:27,29.439
gasly,2020,4,1,12,14:35:29,29.414
giovinazzi,2020,4,1,12,14:35:30,28.355
raikkonen,2020,4,2,47,15:35:09,44.085
russell,2020,4,1,12,14:35:36,29.302
latifi,2020,4,1,12,14:35:42,31.371
hamilton,2020,4,1,13,14:37:01,28.805
bottas,2020,4,2,50,15:38:33,33.602
max_verstappen,2020,4,2,50,15:38:04,28.273
